,data structure,time_construct,time_search,search_random,knn-search
0,kd-tree not balance,0.002037525177001953,0.00041103363037109375,1.2874603271484375e-05,0.0001678466796875
1,kd-tree balance,0.0012052059173583984,0.00026416778564453125,1.2874603271484375e-05,0.00018310546875
2,hash_universe,0.8127315044403076,0.03719925880432129,0.049695491790771484,0.05971693992614746
3,hash_flip_method,0.8127315044403076,0.048004150390625,0.03246760368347168,0.0840158462524414
