,data structure,time_construct,time_search,search_random,knn-search
0,kd-tree not balance,0.19380426406860352,0.0002677440643310547,5.14984130859375e-05,0.0006389617919921875
1,kd-tree balance,0.2014331817626953,0.0002346038818359375,3.147125244140625e-05,0.0004360675811767578
2,hash_universe,0.873833417892456,0.04002213478088379,0.05360221862792969,0.06153678894042969
3,hash_flip_method,0.873833417892456,0.0368494987487793,0.05221700668334961,0.12047719955444336
